"database","table","ttl_expression","ttl_value"
"business","acl_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","alert_relation_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","arp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","asset_impersonation_security_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","asset_infer_local","TTL toDate(maxRecordTimestamp) + toIntervalDay(90) ",90
"business","asset_log_local","TTL insertTime + toIntervalDay(30) ",30
"business","das_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","datalake_platform_log_local","TTL insertTime + toIntervalDay(21) ",21
"business","datalake_report_log_local","TTL insertTime + toIntervalDay(30) ",30
"business","db2_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","dce_rpc_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","dhcp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","dns_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","dsp_http_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","dynamic_graph_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","eml_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","endpoint_behavior_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","endpoint_security_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","endpoint_telemetry_security_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","file_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","ftp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","ftp_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","http_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","http_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","icmp_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","imap_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","imap_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","ioa_log_local","TTL toDate(collect_api_receive_time) + toIntervalDay(365) ",365
"business","iot_device_audit_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","kerberos_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","ldap_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","mongo_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","mysql_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","nat_config_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","nat_session_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","netbios_nbns_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","netflow_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","network_security_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","nfs_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","ntlm_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","onvif_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","operation_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","oracle_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","other_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","parse_status_log_local","TTL toDate(recordTimestamp) + toIntervalDay(180) ",180
"business","pgsql_cmd_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","pgsql_login_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
"business","pop3_log_local","TTL toDate(recordTimestamp) + toIntervalDay(365) ",365
