"database","table","active_parts","partitions","rows","sum_bytes_on_disk","max_part_bytes_on_disk"
"business","http_log_local",21308,48,7155940941,15022695258776,1185066792
"business","parse_status_log_local",2126,66,8897459960,848714572174,1074799385
"business","dns_log_local",1166,50,7102068215,485921117220,1177230573
"business","tcp_log_local",1189,50,10405253669,336592676049,1166741481
"business","network_security_log_local",1001,50,322442576,249052611055,1173299842
"business","ssl_tls_log_local",1017,62,450206937,212391681200,1073124275
"business","endpoint_behavior_log_local",891,51,1674292364,183566482017,1181191961
"business","acl_log_local",639,46,1509301290,125749808678,880392775
"business","icmp_log_local",697,50,1527403383,48008305231,270926383
"business","http_login_log_local",518,50,42825510,12191265280,187809754
"business","ftp_log_local",535,50,478930167,9563835716,81218613
"business","alert_relation_log_local",706,64,417138188,7982083292,55367617
"business","endpoint_security_log_local",468,50,32581590,7446704043,81604445
"business","operation_log_local",489,47,88397828,6623598133,52319444
"business","ztna_access_log_local",84,8,16510678,3183339417,155321290
"business","snmp_log_local",409,48,35791732,2069777862,16607053
"business","asset_log_local",292,31,1827424,926420081,9372127
"business","ftp_login_log_local",352,48,27403079,644414316,5942556
"business","imap_log_local",338,48,338289,397908946,11031491
"business","redis_log_local",315,43,13658937,324068537,4806930
"business","pop3_log_local",296,48,1004956,259360269,11504862
"business","oracle_log_local",279,48,9761343,216692390,8990797
"business","rdp_log_local",270,48,6978643,185989285,13113283
"business","imap_login_log_local",257,50,3292088,124684027,1297943
"business","smtp_login_log_local",259,50,1521824,74850489,608831
"business","pgsql_login_log_local",142,31,142924,65857231,727822
"business","asset_infer_local",16,1,2866640,54774308,11954046
"business","mysql_log_local",257,48,1454940,43649298,1164302
"business","pop3_login_log_local",251,48,741210,33246592,237703
"business","pgsql_cmd_log_local",265,48,296870,31406794,724177
"business","smb_log_local",282,48,1217502,20376855,1052734
"business","smtp_log_local",274,48,3273,6867689,91588
"business","ssh_log_local",265,48,38732,5886445,508943
"business","sip_log_local",250,45,5685,4193214,33047
"business","telnet_command_log_local",336,62,5604,4149612,609161
"business","netbios_nbns_log_local",236,45,30278,4037214,82480
"business","mongo_log_local",286,48,5689,2760303,143939
"business","arp_log_local",235,45,37190,2251827,14606
"business","telnet_option_log_local",332,62,2592,2050215,11154
"business","ntlm_log_local",192,37,2846,1869368,12403
"business","datalake_platform_log_local",34,22,10567,957081,48511
"business","datalake_report_log_local",43,31,15360,634951,22834
"business","dce_rpc_log_local",21,12,57,161249,8425
"business","dhcp_log_local",7,6,14,59317,8730
"business","onvif_log_local",6,4,11,56015,10312
"business","weak_log_local",18,10,19,28606,2632
"business","kerberos_log_local",2,1,65,23111,12029
