"name","value","changed","description"
"add_http_cors_header","0",0,"Write add http CORS header."
"additional_result_filter","",0,"Additional filter expression which would be applied to query result"
"additional_table_filters","{}",0,"Additional filter expression which would be applied after reading from specified table. Syntax: {'table1': 'expression', 'database.table2': 'expression'}"
"aggregate_functions_null_for_empty","0",0,"Rewrite all aggregate functions in a query, adding -OrNull suffix to them"
"aggregation_in_order_max_block_bytes","50000000",0,"Maximal size of block in bytes accumulated during aggregation in order of primary key. Lower block size allows to parallelize more final merge stage of aggregation."
"aggregation_memory_efficient_merge_threads","0",0,"Number of threads to use for merge intermediate aggregation results in memory efficient mode. When bigger, then more memory is consumed. 0 means - same as 'max_threads'."
"allow_aggregate_partitions_independently","0",0,"Enable independent aggregation of partitions on separate threads when partition key suits group by key. Beneficial when number of partitions close to number of cores and partitions have roughly the same size"
"allow_asynchronous_read_from_io_pool_for_merge_tree","0",0,"Use background I/O pool to read from MergeTree tables. This setting may increase performance for I/O bound queries"
"allow_changing_replica_until_first_data_packet","0",0,"Allow HedgedConnections to change replica until receiving first data packet"
"allow_custom_error_code_in_throwif","0",0,"Enable custom error code in function throwIf(). If true, thrown exceptions may have unexpected error codes."
"allow_ddl","1",0,"If it is set to true, then a user is allowed to executed DDL queries."
"allow_deprecated_database_ordinary","1",1,"Allow to create databases with deprecated Ordinary engine"
"allow_deprecated_syntax_for_merge_tree","1",1,"Allow to create *MergeTree tables with deprecated engine definition syntax"
"allow_distributed_ddl","1",0,"If it is set to true, then a user is allowed to executed distributed DDL queries."
"allow_drop_detached","0",0,"Allow ALTER TABLE ... DROP DETACHED PART[ITION] ... queries"
"allow_execute_multiif_columnar","1",0,"Allow execute multiIf function columnar"
"allow_experimental_alter_materialized_view_structure","0",0,"Allow atomic alter on Materialized views. Work in progress."
"allow_experimental_analyzer","0",0,"Allow experimental analyzer"
"allow_experimental_annoy_index","0",0,"Allows to use Annoy index. Disabled by default because this feature is experimental"
"allow_experimental_bigint_types","1",0,"Obsolete setting, does nothing."
"allow_experimental_codecs","0",0,"If it is set to true, allow to specify experimental compression codecs (but we don't have those yet and this option does nothing)."
"allow_experimental_database_atomic","1",0,"Obsolete setting, does nothing."
"allow_experimental_database_materialized_mysql","0",0,"Allow to create database with Engine=MaterializedMySQL(...)."
"allow_experimental_database_materialized_postgresql","0",0,"Allow to create database with Engine=MaterializedPostgreSQL(...)."
"allow_experimental_database_replicated","0",0,"Allow to create databases with Replicated engine"
"allow_experimental_funnel_functions","0",0,"Enable experimental functions for funnel analysis."
"allow_experimental_geo_types","1",0,"Allow geo data types such as Point, Ring, Polygon, MultiPolygon"
"allow_experimental_hash_functions","0",0,"Enable experimental hash functions (hashid, etc)"
"allow_experimental_inverted_index","0",0,"If it is set to true, allow to use experimental inverted index."
"allow_experimental_lightweight_delete","0",0,"Enable lightweight DELETE mutations for mergetree tables. Work in progress"
"allow_experimental_live_view","0",0,"Enable LIVE VIEW. Not mature enough."
"allow_experimental_map_type","1",0,"Obsolete setting, does nothing."
"allow_experimental_nlp_functions","0",0,"Enable experimental functions for natural language processing."
"allow_experimental_object_type","0",0,"Allow Object and JSON data types"
"allow_experimental_parallel_reading_from_replicas","0",0,"If true, ClickHouse will send a SELECT query to all replicas of a table. It will work for any kind on MergeTree table."
"allow_experimental_projection_optimization","1",0,"Obsolete setting, does nothing."
"allow_experimental_query_cache","0",0,"Enable experimental query cache"
"allow_experimental_query_deduplication","0",0,"Experimental data deduplication for SELECT queries based on part UUIDs"
"allow_experimental_window_functions","1",0,"Obsolete setting, does nothing."
"allow_experimental_window_view","0",0,"Enable WINDOW VIEW. Not mature enough."
"allow_hyperscan","1",0,"Allow functions that use Hyperscan library. Disable to avoid potentially long compilation times and excessive resource usage."
"allow_introspection_functions","0",0,"Allow functions for introspection of ELF and DWARF for query profiling. These functions are slow and may impose security considerations."
"allow_non_metadata_alters","1",0,"Allow to execute alters which affects not only tables metadata, but also data on disk"
"allow_nondeterministic_mutations","0",0,"Allow non-deterministic functions in ALTER UPDATE/ALTER DELETE statements"
"allow_nondeterministic_optimize_skip_unused_shards","0",0,"Allow non-deterministic functions (includes dictGet) in sharding_key for optimize_skip_unused_shards"
"allow_prefetched_read_pool_for_local_filesystem","0",0,"Prefer prefethed threadpool if all parts are on remote filesystem"
"allow_prefetched_read_pool_for_remote_filesystem","0",0,"Prefer prefethed threadpool if all parts are on remote filesystem"
"allow_push_predicate_when_subquery_contains_with","1",0,"Allows push predicate when subquery contains WITH clause"
"allow_settings_after_format_in_insert","0",0,"Allow SETTINGS after FORMAT, but note, that this is not always safe (note: this is a compatibility setting)."
"allow_simdjson","1",0,"Allow using simdjson library in 'JSON*' functions if AVX2 instructions are available. If disabled rapidjson will be used."
"allow_suspicious_codecs","0",0,"If it is set to true, allow to specify meaningless compression codecs."
"allow_suspicious_fixed_string_types","0",0,"In CREATE TABLE statement allows creating columns of type FixedString(n) with n > 256. FixedString with length >= 256 is suspicious and most likely indicates misusage"
"allow_suspicious_low_cardinality_types","0",0,"In CREATE TABLE statement allows specifying LowCardinality modifier for types of small fixed size (8 or less). Enabling this may increase merge times and memory consumption."
"allow_unrestricted_reads_from_keeper","0",0,"Allow unrestricted (without condition on path) reads from system.zookeeper table, can be handy, but is not safe for zookeeper"
"alter_partition_verbose_result","0",0,"Output information about affected parts. Currently works only for FREEZE and ATTACH commands."
"alter_sync","1",0,"Wait for actions to manipulate the partitions. 0 - do not wait, 1 - wait for execution only of itself, 2 - wait for everyone."
"ann_index_select_query_params","",0,"Parameters passed to ANN indexes in SELECT queries, the format is 'param1=x, param2=y, ...'"
"any_join_distinct_right_table_keys","0",0,"Enable old ANY JOIN logic with many-to-one left-to-right table keys mapping for all ANY JOINs. It leads to confusing not equal results for 't1 ANY LEFT JOIN t2' and 't2 ANY RIGHT JOIN t1'. ANY RIGHT JOIN needs one-to-many keys mapping to be consistent with LEFT one."
"asterisk_include_alias_columns","0",0,"Include ALIAS columns for wildcard query"
"asterisk_include_materialized_columns","0",0,"Include MATERIALIZED columns for wildcard query"
"async_insert","0",0,"If true, data from INSERT query is stored in queue and later flushed to table in background. Makes sense only for inserts via HTTP protocol. If wait_for_async_insert is false, INSERT query is processed almost instantly, otherwise client will wait until data will be flushed to table"
"async_insert_busy_timeout_ms","200",0,"Maximum time to wait before dumping collected data per query since the first data appeared"
"async_insert_cleanup_timeout_ms","1000",0,"Obsolete setting, does nothing."
"async_insert_deduplicate","0",0,"For async INSERT queries in the replicated table, specifies that deduplication of insertings blocks should be performed"
"async_insert_max_data_size","1000000",0,"Maximum size in bytes of unparsed data collected per query before being inserted"
"async_insert_max_query_number","450",0,"Maximum number of insert queries before being inserted"
"async_insert_stale_timeout_ms","0",0,"Obsolete setting, does nothing."
"async_insert_threads","16",0,"Maximum number of threads to actually parse and insert data in background. Zero means asynchronous mode is disabled"
"async_socket_for_remote","1",0,"Asynchronously read from socket executing remote query"
"background_buffer_flush_schedule_pool_size","16",0,"Obsolete setting, does nothing."
"background_common_pool_size","8",0,"Obsolete setting, does nothing."
"background_distributed_schedule_pool_size","16",0,"Obsolete setting, does nothing."
"background_fetches_pool_size","8",0,"Obsolete setting, does nothing."
