"database","table","column","type","default_kind","default_expression"
"business","acl_log","action","Nullable(Int32)","",""
"business","acl_log","cloudTs","Nullable(Int64)","",""
"business","acl_log","devUId","Nullable(Int32)","",""
"business","acl_log","deviceId","LowCardinality(String)","",""
"business","acl_log","deviceIp","LowCardinality(String)","",""
"business","acl_log","dstCity","LowCardinality(String)","",""
"business","acl_log","dstCountry","LowCardinality(String)","",""
"business","acl_log","dstIp","String","",""
"business","acl_log","dstIpTag","Int32","",""
"business","acl_log","dstIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(dstIp))"
"business","acl_log","dstIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(dstIp))"
"business","acl_log","dstMac","String","",""
"business","acl_log","dstNatIp","Nullable(String)","",""
"business","acl_log","dstNatPort","Nullable(Int32)","",""
"business","acl_log","dstPort","Int32","",""
"business","acl_log","dstProvince","LowCardinality(String)","",""
"business","acl_log","dstRegionId","Nullable(String)","",""
"business","acl_log","dstSubType","Int32","",""
"business","acl_log","dstType","Int32","",""
"business","acl_log","insertTimestamp","Int64","",""
"business","acl_log","l3Protocol","LowCardinality(String)","",""
"business","acl_log","l4Protocol","LowCardinality(String)","",""
"business","acl_log","l7Protocol","LowCardinality(String)","",""
"business","acl_log","logSampled","Nullable(Int32)","",""
"business","acl_log","logTraceInfo","Nullable(String)","",""
"business","acl_log","manage","LowCardinality(String)","",""
"business","acl_log","manageIp","LowCardinality(String)","",""
"business","acl_log","natType","Nullable(String)","",""
"business","acl_log","originProductType","LowCardinality(String)","",""
"business","acl_log","originProductVer","LowCardinality(String)","",""
"business","acl_log","policyId","Nullable(String)","",""
"business","acl_log","policyName","Nullable(String)","",""
"business","acl_log","productType","LowCardinality(String)","",""
"business","acl_log","productVer","LowCardinality(String)","",""
"business","acl_log","rawMsg","String","",""
"business","acl_log","recordTimestamp","Int64","",""
"business","acl_log","rowLogAlias","String","ALIAS","''"
"business","acl_log","srcCity","LowCardinality(String)","",""
"business","acl_log","srcCountry","LowCardinality(String)","",""
"business","acl_log","srcIp","String","",""
"business","acl_log","srcIpTag","Int32","",""
"business","acl_log","srcIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(srcIp))"
"business","acl_log","srcIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(srcIp))"
"business","acl_log","srcMac","String","",""
"business","acl_log","srcNatIp","Nullable(String)","",""
"business","acl_log","srcNatPort","Nullable(Int32)","",""
"business","acl_log","srcPort","Int32","",""
"business","acl_log","srcProvince","LowCardinality(String)","",""
"business","acl_log","srcRegionId","Nullable(String)","",""
"business","acl_log","srcSubType","Int32","",""
"business","acl_log","srcType","Int32","",""
"business","acl_log","tenant","LowCardinality(String)","",""
"business","acl_log","uploadTimestamp","Nullable(Int64)","",""
"business","acl_log","uuId","String","",""
"business","acl_log","v","Int32","",""
"business","acl_log","vendor","LowCardinality(String)","",""
"business","acl_log_local","action","Nullable(Int32)","",""
"business","acl_log_local","cloudTs","Nullable(Int64)","",""
"business","acl_log_local","devUId","Nullable(Int32)","",""
"business","acl_log_local","deviceId","LowCardinality(String)","",""
"business","acl_log_local","deviceIp","LowCardinality(String)","",""
"business","acl_log_local","dstCity","LowCardinality(String)","",""
"business","acl_log_local","dstCountry","LowCardinality(String)","",""
"business","acl_log_local","dstIp","String","",""
"business","acl_log_local","dstIpTag","Int32","",""
"business","acl_log_local","dstIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(dstIp))"
"business","acl_log_local","dstIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(dstIp))"
"business","acl_log_local","dstMac","String","",""
"business","acl_log_local","dstNatIp","Nullable(String)","",""
"business","acl_log_local","dstNatPort","Nullable(Int32)","",""
"business","acl_log_local","dstPort","Int32","",""
"business","acl_log_local","dstProvince","LowCardinality(String)","",""
"business","acl_log_local","dstRegionId","Nullable(String)","",""
"business","acl_log_local","dstSubType","Int32","",""
"business","acl_log_local","dstType","Int32","",""
"business","acl_log_local","insertTimestamp","Int64","",""
"business","acl_log_local","l3Protocol","LowCardinality(String)","",""
"business","acl_log_local","l4Protocol","LowCardinality(String)","",""
"business","acl_log_local","l7Protocol","LowCardinality(String)","",""
"business","acl_log_local","logSampled","Nullable(Int32)","",""
"business","acl_log_local","logTraceInfo","Nullable(String)","",""
"business","acl_log_local","manage","LowCardinality(String)","",""
"business","acl_log_local","manageIp","LowCardinality(String)","",""
"business","acl_log_local","natType","Nullable(String)","",""
"business","acl_log_local","originProductType","LowCardinality(String)","",""
"business","acl_log_local","originProductVer","LowCardinality(String)","",""
"business","acl_log_local","policyId","Nullable(String)","",""
"business","acl_log_local","policyName","Nullable(String)","",""
"business","acl_log_local","productType","LowCardinality(String)","",""
"business","acl_log_local","productVer","LowCardinality(String)","",""
"business","acl_log_local","rawMsg","String","",""
"business","acl_log_local","recordTimestamp","Int64","",""
"business","acl_log_local","rowLogAlias","String","ALIAS","''"
"business","acl_log_local","srcCity","LowCardinality(String)","",""
"business","acl_log_local","srcCountry","LowCardinality(String)","",""
"business","acl_log_local","srcIp","String","",""
"business","acl_log_local","srcIpTag","Int32","",""
"business","acl_log_local","srcIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(srcIp))"
"business","acl_log_local","srcIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(srcIp))"
"business","acl_log_local","srcMac","String","",""
"business","acl_log_local","srcNatIp","Nullable(String)","",""
"business","acl_log_local","srcNatPort","Nullable(Int32)","",""
"business","acl_log_local","srcPort","Int32","",""
"business","acl_log_local","srcProvince","LowCardinality(String)","",""
"business","acl_log_local","srcRegionId","Nullable(String)","",""
"business","acl_log_local","srcSubType","Int32","",""
"business","acl_log_local","srcType","Int32","",""
"business","acl_log_local","tenant","LowCardinality(String)","",""
"business","acl_log_local","uploadTimestamp","Nullable(Int64)","",""
"business","acl_log_local","uuId","String","",""
"business","acl_log_local","v","Int32","",""
"business","acl_log_local","vendor","LowCardinality(String)","",""
"business","alert_relation_log","alertUuId","String","",""
"business","alert_relation_log","dstRegionId","String","",""
"business","alert_relation_log","insertTime","DateTime","DEFAULT","now()"
"business","alert_relation_log","manage","String","DEFAULT","''"
"business","alert_relation_log","ndrProduceTimestamp","Int64","",""
"business","alert_relation_log","recordTimestamp","Int64","",""
"business","alert_relation_log","seqId","String","",""
"business","alert_relation_log","srcRegionId","String","",""
"business","alert_relation_log","tenant","LowCardinality(String)","",""
"business","alert_relation_log","uuId","String","",""
"business","alert_relation_log","v","Int32","",""
"business","alert_relation_log_local","alertUuId","String","",""
"business","alert_relation_log_local","dstRegionId","String","",""
"business","alert_relation_log_local","insertTime","DateTime","DEFAULT","now()"
"business","alert_relation_log_local","manage","String","DEFAULT","''"
"business","alert_relation_log_local","ndrProduceTimestamp","Int64","",""
"business","alert_relation_log_local","recordTimestamp","Int64","",""
"business","alert_relation_log_local","seqId","String","",""
"business","alert_relation_log_local","srcRegionId","String","",""
"business","alert_relation_log_local","tenant","LowCardinality(String)","",""
"business","alert_relation_log_local","uuId","String","",""
"business","alert_relation_log_local","v","Int32","",""
"business","arp_log","_invert_text","String","DEFAULT","''"
"business","arp_log","customer","LowCardinality(String)","",""
"business","arp_log","devUId","Nullable(Int32)","",""
"business","arp_log","deviceId","LowCardinality(String)","",""
"business","arp_log","deviceIp","LowCardinality(String)","",""
"business","arp_log","dstRegionId","Nullable(String)","",""
"business","arp_log","hwType","Int32","",""
"business","arp_log","insertTimestamp","Int64","",""
"business","arp_log","logSampled","Nullable(Int32)","",""
"business","arp_log","logTraceInfo","Nullable(String)","",""
"business","arp_log","manage","LowCardinality(String)","",""
"business","arp_log","manageIp","LowCardinality(String)","",""
"business","arp_log","op","Int32","",""
"business","arp_log","originProductType","LowCardinality(String)","",""
"business","arp_log","originProductVer","LowCardinality(String)","",""
"business","arp_log","productType","LowCardinality(String)","",""
"business","arp_log","productVer","LowCardinality(String)","",""
"business","arp_log","recordTime","String","",""
"business","arp_log","recordTimestamp","Int64","",""
"business","arp_log","rowLogAlias","String","ALIAS","lower(toValidUTF8(trimBoth(arrayStringConcat(arrayMap(c -> trimBoth(c), [manageIp, deviceIp, senderIp, targetIp, senderMac, targetMac, _invert_text]), ' '))))"
"business","arp_log","senderIp","String","",""
"business","arp_log","senderMac","String","",""
"business","arp_log","srcRegionId","Nullable(String)","",""
"business","arp_log","targetIp","String","",""
"business","arp_log","targetMac","String","",""
"business","arp_log","tenant","LowCardinality(String)","",""
"business","arp_log","uploadTime","String","",""
"business","arp_log","uploadTimestamp","Int64","",""
"business","arp_log","uuId","String","",""
"business","arp_log","v","Int32","",""
"business","arp_log","vendor","LowCardinality(String)","",""
"business","arp_log_local","_invert_text","String","DEFAULT","''"
"business","arp_log_local","customer","LowCardinality(String)","",""
"business","arp_log_local","devUId","Nullable(Int32)","",""
"business","arp_log_local","deviceId","LowCardinality(String)","",""
"business","arp_log_local","deviceIp","LowCardinality(String)","",""
"business","arp_log_local","dstRegionId","Nullable(String)","",""
"business","arp_log_local","hwType","Int32","",""
"business","arp_log_local","insertTimestamp","Int64","",""
"business","arp_log_local","logSampled","Nullable(Int32)","",""
"business","arp_log_local","logTraceInfo","Nullable(String)","",""
"business","arp_log_local","manage","LowCardinality(String)","",""
"business","arp_log_local","manageIp","LowCardinality(String)","",""
"business","arp_log_local","op","Int32","",""
"business","arp_log_local","originProductType","LowCardinality(String)","",""
"business","arp_log_local","originProductVer","LowCardinality(String)","",""
"business","arp_log_local","productType","LowCardinality(String)","",""
"business","arp_log_local","productVer","LowCardinality(String)","",""
"business","arp_log_local","recordTime","String","",""
"business","arp_log_local","recordTimestamp","Int64","",""
