"query_kind","start_time","end_time","queries","failures","denials","timeouts"
"Insert","2026-01-20 00:00:00","2026-01-20 00:30:00",4224,0,0,0
"Insert","2026-01-20 00:30:00","2026-01-20 01:00:00",4200,0,0,0
"Insert","2026-01-20 01:00:00","2026-01-20 01:30:00",4213,0,0,0
"Insert","2026-01-20 01:30:00","2026-01-20 02:00:00",4115,0,0,0
"Insert","2026-01-20 02:00:00","2026-01-20 02:30:00",4106,0,0,0
"Insert","2026-01-20 02:30:00","2026-01-20 03:00:00",4150,0,0,0
"Insert","2026-01-20 03:00:00","2026-01-20 03:30:00",4213,0,0,0
"Insert","2026-01-20 03:30:00","2026-01-20 04:00:00",4216,0,0,0
"Insert","2026-01-20 04:00:00","2026-01-20 04:30:00",4186,0,0,0
"Insert","2026-01-20 04:30:00","2026-01-20 05:00:00",4222,0,0,0
"Insert","2026-01-20 05:00:00","2026-01-20 05:30:00",4232,0,0,0
"Insert","2026-01-20 05:30:00","2026-01-20 06:00:00",4235,0,0,0
"Insert","2026-01-20 06:00:00","2026-01-20 06:30:00",4215,0,0,0
"Insert","2026-01-20 06:30:00","2026-01-20 07:00:00",4175,0,0,0
"Insert","2026-01-20 07:00:00","2026-01-20 07:30:00",4321,0,0,0
"Insert","2026-01-20 07:30:00","2026-01-20 08:00:00",4422,0,0,0
"Insert","2026-01-20 08:00:00","2026-01-20 08:30:00",4779,0,0,0
"Insert","2026-01-20 08:30:00","2026-01-20 09:00:00",5013,0,0,0
"Insert","2026-01-20 09:00:00","2026-01-20 09:30:00",5272,0,0,0
"Insert","2026-01-20 09:30:00","2026-01-20 10:00:00",5194,0,0,0
"Insert","2026-01-20 10:00:00","2026-01-20 10:30:00",5131,0,0,0
"Insert","2026-01-20 10:30:00","2026-01-20 11:00:00",5195,0,0,0
"Insert","2026-01-20 11:00:00","2026-01-20 11:30:00",5017,0,0,0
"Insert","2026-01-20 11:30:00","2026-01-20 12:00:00",4758,0,0,0
"Insert","2026-01-20 12:00:00","2026-01-20 12:30:00",4672,0,0,0
"Insert","2026-01-20 12:30:00","2026-01-20 13:00:00",4626,0,0,0
"Insert","2026-01-20 13:00:00","2026-01-20 13:30:00",4775,0,0,0
"Insert","2026-01-20 13:30:00","2026-01-20 14:00:00",5008,0,0,0
"Insert","2026-01-20 14:00:00","2026-01-20 14:30:00",5138,0,0,0
"Insert","2026-01-20 14:30:00","2026-01-20 15:00:00",5022,0,0,0
"Insert","2026-01-20 15:00:00","2026-01-20 15:30:00",4031,0,0,0
"Insert","2026-01-20 15:30:00","2026-01-20 16:00:00",3860,0,0,0
"Insert","2026-01-20 16:00:00","2026-01-20 16:30:00",6064,0,0,0
"Insert","2026-01-20 16:30:00","2026-01-20 17:00:00",3972,0,0,0
"Insert","2026-01-20 17:00:00","2026-01-20 17:30:00",6275,0,0,0
"Insert","2026-01-20 17:30:00","2026-01-20 18:00:00",4382,0,0,0
"Insert","2026-01-20 18:00:00","2026-01-20 18:30:00",5094,0,0,0
"Insert","2026-01-20 18:30:00","2026-01-20 19:00:00",4681,0,0,0
"Insert","2026-01-20 19:00:00","2026-01-20 19:30:00",4484,0,0,0
"Insert","2026-01-20 19:30:00","2026-01-20 20:00:00",4448,0,0,0
"Insert","2026-01-20 20:00:00","2026-01-20 20:30:00",4485,0,0,0
"Insert","2026-01-20 20:30:00","2026-01-20 21:00:00",4420,0,0,0
"Insert","2026-01-20 21:00:00","2026-01-20 21:30:00",4562,0,0,0
"Insert","2026-01-20 21:30:00","2026-01-20 22:00:00",4490,0,0,0
"Insert","2026-01-20 22:00:00","2026-01-20 22:30:00",4446,0,0,0
"Insert","2026-01-20 22:30:00","2026-01-20 23:00:00",4323,0,0,0
"Insert","2026-01-20 23:00:00","2026-01-20 23:30:00",4297,0,0,0
"Insert","2026-01-20 23:30:00","2026-01-21 00:00:00",4294,0,0,0
"Insert","2026-01-21 00:00:00","2026-01-21 00:30:00",4277,0,0,0
"Insert","2026-01-21 00:30:00","2026-01-21 01:00:00",4258,0,0,0
"Insert","2026-01-21 01:00:00","2026-01-21 01:30:00",4365,0,0,0
"Insert","2026-01-21 01:30:00","2026-01-21 02:00:00",4329,0,0,0
"Insert","2026-01-21 02:00:00","2026-01-21 02:30:00",4245,0,0,0
"Insert","2026-01-21 02:30:00","2026-01-21 03:00:00",4320,0,0,0
"Insert","2026-01-21 03:00:00","2026-01-21 03:30:00",4323,0,0,0
"Insert","2026-01-21 03:30:00","2026-01-21 04:00:00",4283,0,0,0
"Insert","2026-01-21 04:00:00","2026-01-21 04:30:00",4198,0,0,0
"Insert","2026-01-21 04:30:00","2026-01-21 05:00:00",4250,0,0,0
"Insert","2026-01-21 05:00:00","2026-01-21 05:30:00",4272,0,0,0
"Insert","2026-01-21 05:30:00","2026-01-21 06:00:00",4249,0,0,0
"Insert","2026-01-21 06:00:00","2026-01-21 06:30:00",4242,0,0,0
"Insert","2026-01-21 06:30:00","2026-01-21 07:00:00",4309,0,0,0
"Insert","2026-01-21 07:00:00","2026-01-21 07:30:00",4403,0,0,0
"Insert","2026-01-21 07:30:00","2026-01-21 08:00:00",4476,0,0,0
"Insert","2026-01-21 08:00:00","2026-01-21 08:30:00",4831,0,0,0
"Insert","2026-01-21 08:30:00","2026-01-21 09:00:00",5158,0,0,0
"Insert","2026-01-21 09:00:00","2026-01-21 09:30:00",5311,0,0,0
"Insert","2026-01-21 09:30:00","2026-01-21 10:00:00",5259,0,0,0
"Insert","2026-01-21 10:00:00","2026-01-21 10:30:00",5195,0,0,0
"Insert","2026-01-21 10:30:00","2026-01-21 11:00:00",5219,0,0,0
"Insert","2026-01-21 11:00:00","2026-01-21 11:30:00",5172,0,0,0
"Insert","2026-01-21 11:30:00","2026-01-21 12:00:00",4863,0,0,0
"Insert","2026-01-21 12:00:00","2026-01-21 12:30:00",4680,0,0,0
"Insert","2026-01-21 12:30:00","2026-01-21 13:00:00",4574,0,0,0
"Insert","2026-01-21 13:00:00","2026-01-21 13:30:00",4793,0,0,0
"Insert","2026-01-21 13:30:00","2026-01-21 14:00:00",5112,0,0,0
"Insert","2026-01-21 14:00:00","2026-01-21 14:30:00",5012,0,0,0
"Insert","2026-01-21 14:30:00","2026-01-21 15:00:00",5721,0,0,0
"Insert","2026-01-21 15:00:00","2026-01-21 15:30:00",5712,0,0,0
"Insert","2026-01-21 15:30:00","2026-01-21 16:00:00",5155,0,0,0
"Insert","2026-01-21 16:00:00","2026-01-21 16:30:00",5208,0,0,0
"Insert","2026-01-21 16:30:00","2026-01-21 17:00:00",4685,0,0,0
"Insert","2026-01-21 17:00:00","2026-01-21 17:30:00",4829,0,0,0
"Insert","2026-01-21 17:30:00","2026-01-21 18:00:00",4838,0,0,0
"Insert","2026-01-21 18:00:00","2026-01-21 18:30:00",4771,0,0,0
"Insert","2026-01-21 18:30:00","2026-01-21 19:00:00",4373,0,0,0
"Insert","2026-01-21 19:00:00","2026-01-21 19:30:00",5006,0,0,0
"Insert","2026-01-21 19:30:00","2026-01-21 20:00:00",4991,0,0,0
"Insert","2026-01-21 20:00:00","2026-01-21 20:30:00",5312,0,0,0
"Insert","2026-01-21 20:30:00","2026-01-21 21:00:00",5328,0,0,0
"Insert","2026-01-21 21:00:00","2026-01-21 21:30:00",5348,0,0,0
"Insert","2026-01-21 21:30:00","2026-01-21 22:00:00",5099,0,0,0
"Insert","2026-01-21 22:00:00","2026-01-21 22:30:00",5118,0,0,0
"Insert","2026-01-21 22:30:00","2026-01-21 23:00:00",4821,0,0,0
"Insert","2026-01-21 23:00:00","2026-01-21 23:30:00",5143,0,0,0
"Insert","2026-01-21 23:30:00","2026-01-22 00:00:00",5241,0,0,0
"Insert","2026-01-22 00:00:00","2026-01-22 00:30:00",5257,0,0,0
"Insert","2026-01-22 00:30:00","2026-01-22 01:00:00",5598,0,0,0
"Insert","2026-01-22 01:00:00","2026-01-22 01:30:00",5490,0,0,0
"Insert","2026-01-22 01:30:00","2026-01-22 02:00:00",4590,0,0,0
"Insert","2026-01-22 02:00:00","2026-01-22 02:30:00",5512,0,0,0
"Insert","2026-01-22 02:30:00","2026-01-22 03:00:00",4923,0,0,0
"Insert","2026-01-22 03:00:00","2026-01-22 03:30:00",4931,0,0,0
"Insert","2026-01-22 03:30:00","2026-01-22 04:00:00",4833,0,0,0
"Insert","2026-01-22 04:00:00","2026-01-22 04:30:00",5297,0,0,0
"Insert","2026-01-22 04:30:00","2026-01-22 05:00:00",4957,0,0,0
"Insert","2026-01-22 05:00:00","2026-01-22 05:30:00",4914,0,0,0
"Insert","2026-01-22 05:30:00","2026-01-22 06:00:00",4846,0,0,0
"Insert","2026-01-22 06:00:00","2026-01-22 06:30:00",5276,0,0,0
"Insert","2026-01-22 06:30:00","2026-01-22 07:00:00",4801,0,0,0
"Insert","2026-01-22 07:00:00","2026-01-22 07:30:00",5757,0,0,0
"Insert","2026-01-22 07:30:00","2026-01-22 08:00:00",5245,0,0,0
"Insert","2026-01-22 08:00:00","2026-01-22 08:30:00",5467,0,0,0
"Insert","2026-01-22 08:30:00","2026-01-22 09:00:00",5600,0,0,0
"Insert","2026-01-22 09:00:00","2026-01-22 09:30:00",5828,0,0,0
"Insert","2026-01-22 09:30:00","2026-01-22 10:00:00",6142,0,0,0
"Insert","2026-01-22 10:00:00","2026-01-22 10:30:00",5568,0,0,0
"Insert","2026-01-22 10:30:00","2026-01-22 11:00:00",6692,10,0,0
"Insert","2026-01-22 11:00:00","2026-01-22 11:30:00",5311,0,0,0
"Insert","2026-01-22 11:30:00","2026-01-22 12:00:00",5515,0,0,0
"Insert","2026-01-22 12:00:00","2026-01-22 12:30:00",5077,0,0,0
"Insert","2026-01-22 12:30:00","2026-01-22 13:00:00",4893,0,0,0
"Insert","2026-01-22 13:00:00","2026-01-22 13:30:00",5343,0,0,0
"Insert","2026-01-22 13:30:00","2026-01-22 14:00:00",4139,0,0,0
"Insert","2026-01-22 14:00:00","2026-01-22 14:30:00",2280,0,0,0
"Insert","2026-01-22 14:30:00","2026-01-22 15:00:00",2445,0,0,0
"Insert","2026-01-22 15:00:00","2026-01-22 15:30:00",2267,0,0,0
"Insert","2026-01-22 15:30:00","2026-01-22 16:00:00",2128,0,0,0
"Insert","2026-01-22 16:00:00","2026-01-22 16:30:00",1978,0,0,0
"Insert","2026-01-22 16:30:00","2026-01-22 17:00:00",1882,0,0,0
"Insert","2026-01-22 17:00:00","2026-01-22 17:30:00",1803,0,0,0
"Insert","2026-01-22 17:30:00","2026-01-22 18:00:00",1521,0,0,0
"Insert","2026-01-22 18:00:00","2026-01-22 18:30:00",1676,0,0,0
"Insert","2026-01-22 18:30:00","2026-01-22 19:00:00",1903,0,0,0
"Insert","2026-01-22 19:00:00","2026-01-22 19:30:00",1675,0,0,0
"Insert","2026-01-22 19:30:00","2026-01-22 20:00:00",1571,0,0,0
"Insert","2026-01-22 20:00:00","2026-01-22 20:30:00",1471,0,0,0
"Insert","2026-01-22 20:30:00","2026-01-22 21:00:00",1468,0,0,0
"Insert","2026-01-22 21:00:00","2026-01-22 21:30:00",1109,0,0,0
"Insert","2026-01-22 21:30:00","2026-01-22 22:00:00",1028,0,0,0
