"query_kind","start_time","end_time","queries","p50_ms","p95_ms","p99_ms","avg_ms","sum_read_bytes","max_memory_usage_bytes"
"Insert","2026-01-20 00:00:00","2026-01-20 00:30:00",4224,204,12666.849999999999,14269.77,1162.4455492424242,40174733912,2891085252
"Insert","2026-01-20 00:30:00","2026-01-20 01:00:00",4200,197,12249.499999999998,13614.04,1016.5040476190476,36453157500,2456991878
"Insert","2026-01-20 01:00:00","2026-01-20 01:30:00",4213,194,11328.8,13298.2,887.3432233562781,33491417679,2457455616
"Insert","2026-01-20 01:30:00","2026-01-20 02:00:00",4115,194,9488.999999999935,13424.300000000001,841.9329283110571,30948056281,2466391596
"Insert","2026-01-20 02:00:00","2026-01-20 02:30:00",4106,193.5,9509.75,13230.8,828.4683390160741,30899203232,2457068077
"Insert","2026-01-20 02:30:00","2026-01-20 03:00:00",4150,190,9569.849999999966,13012.080000000002,806.8453012048193,30595714934,2454297421
"Insert","2026-01-20 03:00:00","2026-01-20 03:30:00",4213,196,1387.5999999999913,13348.680000000008,790.380014241633,30627665166,2465371642
"Insert","2026-01-20 03:30:00","2026-01-20 04:00:00",4216,193,1324.75,13229.800000000003,767.2682637571157,30202219437,2465867644
"Insert","2026-01-20 04:00:00","2026-01-20 04:30:00",4186,196,8958.5,13414.799999999988,852.8731485905399,32303658644,2477182888
"Insert","2026-01-20 04:30:00","2026-01-20 05:00:00",4222,194,10101.049999999992,13504.009999999998,857.6527711984842,32505269546,2462821693
"Insert","2026-01-20 05:00:00","2026-01-20 05:30:00",4232,198,11782.25,13553.829999999998,917.6351606805293,33985041208,2457015997
"Insert","2026-01-20 05:30:00","2026-01-20 06:00:00",4235,194,7901.799999999974,13370.739999999994,812.4302243211334,30966278952,2453018807
"Insert","2026-01-20 06:00:00","2026-01-20 06:30:00",4215,194,11231.299999999974,13635.159999999998,904.3565836298933,33990607340,2457095770
"Insert","2026-01-20 06:30:00","2026-01-20 07:00:00",4175,195,11763,13573.940000000004,932.1334131736527,33875169828,2456852870
"Insert","2026-01-20 07:00:00","2026-01-20 07:30:00",4321,198,12361,14109.200000000006,1022.1335339041889,37614428144,2465596640
"Insert","2026-01-20 07:30:00","2026-01-20 08:00:00",4422,197,12416.3,14277.58,1051.6033469018544,39537388315,2455920370
"Insert","2026-01-20 08:00:00","2026-01-20 08:30:00",4779,210,13130.3,15127.380000000006,1234.558694287508,47986384467,2462463171
"Insert","2026-01-20 08:30:00","2026-01-20 09:00:00",5013,206,13481.199999999999,15870.840000000004,1304.6923997606225,51601854506,2461836146
"Insert","2026-01-20 09:00:00","2026-01-20 09:30:00",5272,217,14545.399999999998,24719.879999999997,1706.2044764795144,58178238688,2463380751
"Insert","2026-01-20 09:30:00","2026-01-20 10:00:00",5194,219,15108.749999999985,21302.21,1679.2680015402386,56881600922,2462420683
"Insert","2026-01-20 10:00:00","2026-01-20 10:30:00",5131,220,14477.5,27058.499999999913,1731.1003702981875,55577191170,2462955077
"Insert","2026-01-20 10:30:00","2026-01-20 11:00:00",5195,205,14018.6,16313,1447.7128007699712,57521053075,2462618042
"Insert","2026-01-20 11:00:00","2026-01-20 11:30:00",5017,206,14036.599999999999,16604.76000000001,1464.7905122583218,55702536143,2461838302
"Insert","2026-01-20 11:30:00","2026-01-20 12:00:00",4758,206.5,13585.15,15492.880000000005,1363.348886086591,51034308093,2461787642
"Insert","2026-01-20 12:00:00","2026-01-20 12:30:00",4672,208,13553.999999999996,15815.87,1395.9507705479452,51079679301,2462023950
"Insert","2026-01-20 12:30:00","2026-01-20 13:00:00",4626,206,13636.25,15712,1422.3685689580632,51167000671,2461793104
"Insert","2026-01-20 13:00:00","2026-01-20 13:30:00",4775,209,13863.800000000003,16185.900000000003,1503.57277486911,54536442350,2469723771
"Insert","2026-01-20 13:30:00","2026-01-20 14:00:00",5008,206,13976.549999999997,16534.710000000014,1553.4259185303515,58674945889,2462307316
"Insert","2026-01-20 14:00:00","2026-01-20 14:30:00",5138,210,14134.15,16703.56,1487.4264305177112,57564138167,2469827925
"Insert","2026-01-20 14:30:00","2026-01-20 15:00:00",5022,221,14562.849999999999,29255.53,1848.5240939864595,54570803653,2471311385
"Insert","2026-01-20 15:00:00","2026-01-20 15:30:00",4031,234,16505.5,40515.499999999905,2587.526668320516,49881430923,2461977527
"Insert","2026-01-20 15:30:00","2026-01-20 16:00:00",3860,213,15721.799999999996,20409.129999999957,1925.2997409326424,49998030547,2462381170
"Insert","2026-01-20 16:00:00","2026-01-20 16:30:00",6064,229,14764.399999999998,18405.679999999993,1631.5987796833774,71128272216,2465423650
"Insert","2026-01-20 16:30:00","2026-01-20 17:00:00",3972,137,14586.099999999997,16659.829999999998,1724.1241188318227,47972940772,2455623737
"Insert","2026-01-20 17:00:00","2026-01-20 17:30:00",6275,233,15261.399999999994,19285.50000000003,1796.2656573705178,78437543120,2469545667
"Insert","2026-01-20 17:30:00","2026-01-20 18:00:00",4382,209,14948.5,17296.31999999999,1989.8073938840712,60008107007,2461868870
"Insert","2026-01-20 18:00:00","2026-01-20 18:30:00",5094,224,15595.149999999994,18584.35,2228.3800549666275,74922900200,2462370674
"Insert","2026-01-20 18:30:00","2026-01-20 19:00:00",4681,213,14399,16698.199999999997,1847.6013672292245,61733765356,2470227032
"Insert","2026-01-20 19:00:00","2026-01-20 19:30:00",4484,207,13682.249999999998,15417.210000000001,1486.7464317573595,50712928261,2461544213
"Insert","2026-01-20 19:30:00","2026-01-20 20:00:00",4448,205,13398.499999999996,15030.71,1382.0519334532373,47917502301,2461272374
"Insert","2026-01-20 20:00:00","2026-01-20 20:30:00",4485,206,13413.000000000004,15203.319999999996,1362.0963210702341,47763191047,2461963216
"Insert","2026-01-20 20:30:00","2026-01-20 21:00:00",4420,204,13139.45,14798.87000000001,1313.6678733031674,46156119886,2458298530
"Insert","2026-01-20 21:00:00","2026-01-20 21:30:00",4562,205,13734.899999999998,15122.700000000008,1492.0094256904865,51859723653,2461751290
"Insert","2026-01-20 21:30:00","2026-01-20 22:00:00",4490,198,13218.55,14960.309999999994,1335.6728285077952,46971536661,2461389325
"Insert","2026-01-20 22:00:00","2026-01-20 22:30:00",4446,200,12848.75,14551.650000000001,1206.150922177238,43936073892,2461492684
"Insert","2026-01-20 22:30:00","2026-01-20 23:00:00",4323,196,12250.599999999999,14154.299999999992,1040.4082812861438,38164787466,2460997076
"Insert","2026-01-20 23:00:00","2026-01-20 23:30:00",4297,203,12098.399999999998,14275.84,988.4540377007214,36378812151,2458512009
"Insert","2026-01-20 23:30:00","2026-01-21 00:00:00",4294,195,10716.399999999996,13697.839999999997,871.2133209129017,33544997400,2453872416
"Insert","2026-01-21 00:00:00","2026-01-21 00:30:00",4277,206,11184.599999999995,13590.999999999995,904.9742810381108,34581478066,2876726069
"Insert","2026-01-21 00:30:00","2026-01-21 01:00:00",4258,199,8286.149999999949,13160.170000000006,825.4727571629874,32486720971,2453532437
"Insert","2026-01-21 01:00:00","2026-01-21 01:30:00",4365,196,10110.800000000017,13448.399999999987,854.5518900343643,34256358476,2458662240
"Insert","2026-01-21 01:30:00","2026-01-21 02:00:00",4329,195,8150.399999999998,13178.040000000008,814.6435666435666,32667603759,2452988998
"Insert","2026-01-21 02:00:00","2026-01-21 02:30:00",4245,197,1643.1999999998598,13457.160000000003,797.8775029446408,31642811583,2458295406
"Insert","2026-01-21 02:30:00","2026-01-21 03:00:00",4320,193,734.3000000000047,12828.620000000003,719.2300925925925,30068400266,2454561061
"Insert","2026-01-21 03:00:00","2026-01-21 03:30:00",4323,200,745.8999999999996,12684.259999999995,680.8970622253065,29584484456,2458434386
"Insert","2026-01-21 03:30:00","2026-01-21 04:00:00",4283,198,731,12758.200000000012,686.9815549848237,29314001703,2453324481
"Insert","2026-01-21 04:00:00","2026-01-21 04:30:00",4198,200,1087.2999999999993,12968.139999999989,747.5871843735111,30617674852,2465489730
"Insert","2026-01-21 04:30:00","2026-01-21 05:00:00",4250,198,1178.349999999979,13110.730000000005,780.4378823529412,31514666523,2458634515
"Insert","2026-01-21 05:00:00","2026-01-21 05:30:00",4272,199.5,2629.799999999468,13051.580000000002,784.5554775280899,31959871356,2457074938
"Insert","2026-01-21 05:30:00","2026-01-21 06:00:00",4249,199,10091.399999999998,13458.039999999999,861.840668392563,33315890005,2456983830
"Insert","2026-01-21 06:00:00","2026-01-21 06:30:00",4242,202,11813.699999999993,13722.060000000005,948.4547383309759,36228291861,2466022605
"Insert","2026-01-21 06:30:00","2026-01-21 07:00:00",4309,199,12089.399999999998,13769.2,987.0914365281968,37433971890,2448823258
"Insert","2026-01-21 07:00:00","2026-01-21 07:30:00",4403,205,12713.599999999999,14414.679999999993,1114.6316148080855,41477785213,2458008151
"Insert","2026-01-21 07:30:00","2026-01-21 08:00:00",4476,205,12644,14382.25,1091.2960232350313,41879644584,2453511177
"Insert","2026-01-21 08:00:00","2026-01-21 08:30:00",4831,216,12997,15027.199999999972,1192.5034154419375,48289561058,2462444234
