"database","table","start_time","end_time","queries"
"business","business.endpoint_behavior_log","2026-01-20 00:00:00","2026-01-20 00:30:00",251
"business","business.endpoint_behavior_log","2026-01-20 00:30:00","2026-01-20 01:00:00",388
"business","business.endpoint_behavior_log","2026-01-20 01:00:00","2026-01-20 01:30:00",197
"business","business.endpoint_behavior_log","2026-01-20 01:30:00","2026-01-20 02:00:00",98
"business","business.endpoint_behavior_log","2026-01-20 02:00:00","2026-01-20 02:30:00",184
"business","business.endpoint_behavior_log","2026-01-20 02:30:00","2026-01-20 03:00:00",288
"business","business.endpoint_behavior_log","2026-01-20 03:00:00","2026-01-20 03:30:00",223
"business","business.endpoint_behavior_log","2026-01-20 03:30:00","2026-01-20 04:00:00",95
"business","business.endpoint_behavior_log","2026-01-20 04:00:00","2026-01-20 04:30:00",230
"business","business.endpoint_behavior_log","2026-01-20 04:30:00","2026-01-20 05:00:00",58
"business","business.endpoint_behavior_log","2026-01-20 05:00:00","2026-01-20 05:30:00",165
"business","business.endpoint_behavior_log","2026-01-20 05:30:00","2026-01-20 06:00:00",88
"business","business.endpoint_behavior_log","2026-01-20 06:00:00","2026-01-20 06:30:00",251
"business","business.endpoint_behavior_log","2026-01-20 06:30:00","2026-01-20 07:00:00",67
"business","business.endpoint_behavior_log","2026-01-20 07:00:00","2026-01-20 07:30:00",274
"business","business.endpoint_behavior_log","2026-01-20 07:30:00","2026-01-20 08:00:00",187
"business","business.endpoint_behavior_log","2026-01-20 08:00:00","2026-01-20 08:30:00",245
"business","business.endpoint_behavior_log","2026-01-20 08:30:00","2026-01-20 09:00:00",102
"business","business.endpoint_behavior_log","2026-01-20 09:00:00","2026-01-20 09:30:00",345
"business","business.endpoint_behavior_log","2026-01-20 09:30:00","2026-01-20 10:00:00",125
"business","business.endpoint_behavior_log","2026-01-20 10:00:00","2026-01-20 10:30:00",309
"business","business.endpoint_behavior_log","2026-01-20 10:30:00","2026-01-20 11:00:00",109
"business","business.endpoint_behavior_log","2026-01-20 11:00:00","2026-01-20 11:30:00",273
"business","business.endpoint_behavior_log","2026-01-20 11:30:00","2026-01-20 12:00:00",105
"business","business.endpoint_behavior_log","2026-01-20 12:00:00","2026-01-20 12:30:00",230
"business","business.endpoint_behavior_log","2026-01-20 12:30:00","2026-01-20 13:00:00",124
"business","business.endpoint_behavior_log","2026-01-20 13:00:00","2026-01-20 13:30:00",219
"business","business.endpoint_behavior_log","2026-01-20 13:30:00","2026-01-20 14:00:00",150
"business","business.endpoint_behavior_log","2026-01-20 14:00:00","2026-01-20 14:30:00",227
"business","business.endpoint_behavior_log","2026-01-20 14:30:00","2026-01-20 15:00:00",128
"business","business.endpoint_behavior_log","2026-01-20 15:00:00","2026-01-20 15:30:00",128
"business","business.endpoint_behavior_log","2026-01-20 15:30:00","2026-01-20 16:00:00",173
"business","business.endpoint_behavior_log","2026-01-20 16:00:00","2026-01-20 16:30:00",288
"business","business.endpoint_behavior_log","2026-01-20 16:30:00","2026-01-20 17:00:00",71
"business","business.endpoint_behavior_log","2026-01-20 17:00:00","2026-01-20 17:30:00",253
"business","business.endpoint_behavior_log","2026-01-20 17:30:00","2026-01-20 18:00:00",87
"business","business.endpoint_behavior_log","2026-01-20 18:00:00","2026-01-20 18:30:00",248
"business","business.endpoint_behavior_log","2026-01-20 18:30:00","2026-01-20 19:00:00",102
"business","business.endpoint_behavior_log","2026-01-20 19:00:00","2026-01-20 19:30:00",250
"business","business.endpoint_behavior_log","2026-01-20 19:30:00","2026-01-20 20:00:00",100
"business","business.endpoint_behavior_log","2026-01-20 20:00:00","2026-01-20 20:30:00",263
"business","business.endpoint_behavior_log","2026-01-20 20:30:00","2026-01-20 21:00:00",120
"business","business.endpoint_behavior_log","2026-01-20 21:00:00","2026-01-20 21:30:00",236
"business","business.endpoint_behavior_log","2026-01-20 21:30:00","2026-01-20 22:00:00",148
