"database","table","start_time","end_time","queries"
"business","business.http_log","2026-01-20 00:30:00","2026-01-20 01:00:00",2
"business","business.http_log","2026-01-20 01:00:00","2026-01-20 01:30:00",3
"business","business.http_log","2026-01-20 01:30:00","2026-01-20 02:00:00",1
"business","business.http_log","2026-01-20 03:30:00","2026-01-20 04:00:00",5
"business","business.http_log","2026-01-20 04:00:00","2026-01-20 04:30:00",91
"business","business.http_log","2026-01-20 04:30:00","2026-01-20 05:00:00",506
"business","business.http_log","2026-01-20 05:00:00","2026-01-20 05:30:00",274
"business","business.http_log","2026-01-20 07:30:00","2026-01-20 08:00:00",12
"business","business.http_log","2026-01-20 09:00:00","2026-01-20 09:30:00",78
"business","business.http_log","2026-01-20 09:30:00","2026-01-20 10:00:00",66
"business","business.http_log","2026-01-20 10:00:00","2026-01-20 10:30:00",14
"business","business.http_log","2026-01-20 10:30:00","2026-01-20 11:00:00",2
"business","business.http_log","2026-01-20 11:30:00","2026-01-20 12:00:00",15
"business","business.http_log","2026-01-20 14:30:00","2026-01-20 15:00:00",22
"business","business.http_log","2026-01-20 15:00:00","2026-01-20 15:30:00",17
"business","business.http_log","2026-01-20 15:30:00","2026-01-20 16:00:00",1
"business","business.http_log","2026-01-20 16:00:00","2026-01-20 16:30:00",2
"business","business.http_log","2026-01-20 16:30:00","2026-01-20 17:00:00",12
"business","business.http_log","2026-01-20 17:30:00","2026-01-20 18:00:00",2
"business","business.http_log","2026-01-20 18:00:00","2026-01-20 18:30:00",6
"business","business.http_log","2026-01-20 18:30:00","2026-01-20 19:00:00",6
"business","business.http_log","2026-01-20 23:00:00","2026-01-20 23:30:00",5
"business","business.http_log","2026-01-21 01:00:00","2026-01-21 01:30:00",3
"business","business.http_log","2026-01-21 01:30:00","2026-01-21 02:00:00",1
"business","business.http_log","2026-01-21 03:30:00","2026-01-21 04:00:00",1
"business","business.http_log","2026-01-21 11:00:00","2026-01-21 11:30:00",3
"business","business.http_log","2026-01-21 11:30:00","2026-01-21 12:00:00",51
"business","business.http_log","2026-01-21 14:00:00","2026-01-21 14:30:00",26
"business","business.http_log","2026-01-21 14:30:00","2026-01-21 15:00:00",4
"business","business.http_log","2026-01-21 15:00:00","2026-01-21 15:30:00",4
"business","business.http_log","2026-01-21 15:30:00","2026-01-21 16:00:00",2
"business","business.http_log","2026-01-21 16:00:00","2026-01-21 16:30:00",2
"business","business.http_log","2026-01-21 17:30:00","2026-01-21 18:00:00",455
"business","business.http_log","2026-01-21 18:00:00","2026-01-21 18:30:00",1361
"business","business.http_log","2026-01-21 18:30:00","2026-01-21 19:00:00",3
"business","business.http_log","2026-01-21 20:00:00","2026-01-21 20:30:00",13
"business","business.http_log","2026-01-21 21:00:00","2026-01-21 21:30:00",3
"business","business.http_log","2026-01-21 21:30:00","2026-01-21 22:00:00",2
"business","business.http_log","2026-01-21 23:00:00","2026-01-21 23:30:00",3
"business","business.http_log","2026-01-22 00:30:00","2026-01-22 01:00:00",2
"business","business.http_log","2026-01-22 01:00:00","2026-01-22 01:30:00",3
"business","business.http_log","2026-01-22 01:30:00","2026-01-22 02:00:00",15
"business","business.http_log","2026-01-22 03:30:00","2026-01-22 04:00:00",1
"business","business.http_log","2026-01-22 05:00:00","2026-01-22 05:30:00",4
"business","business.http_log","2026-01-22 06:00:00","2026-01-22 06:30:00",15
"business","business.http_log","2026-01-22 07:30:00","2026-01-22 08:00:00",2
"business","business.http_log","2026-01-22 08:00:00","2026-01-22 08:30:00",7
"business","business.http_log","2026-01-22 08:30:00","2026-01-22 09:00:00",33
"business","business.http_log","2026-01-22 09:30:00","2026-01-22 10:00:00",30
