"database","table","start_time","end_time","queries"
"business","business.icmp_log","2026-01-20 01:00:00","2026-01-20 01:30:00",3
"business","business.icmp_log","2026-01-20 01:30:00","2026-01-20 02:00:00",1
"business","business.icmp_log","2026-01-20 04:00:00","2026-01-20 04:30:00",4
"business","business.icmp_log","2026-01-20 04:30:00","2026-01-20 05:00:00",5
"business","business.icmp_log","2026-01-20 05:00:00","2026-01-20 05:30:00",5
"business","business.icmp_log","2026-01-20 06:00:00","2026-01-20 06:30:00",3
"business","business.icmp_log","2026-01-20 06:30:00","2026-01-20 07:00:00",3
"business","business.icmp_log","2026-01-20 07:00:00","2026-01-20 07:30:00",3
"business","business.icmp_log","2026-01-20 17:00:00","2026-01-20 17:30:00",1
"business","business.icmp_log","2026-01-20 17:30:00","2026-01-20 18:00:00",1
"business","business.icmp_log","2026-01-20 19:00:00","2026-01-20 19:30:00",1
"business","business.icmp_log","2026-01-21 01:00:00","2026-01-21 01:30:00",3
"business","business.icmp_log","2026-01-21 01:30:00","2026-01-21 02:00:00",1
"business","business.icmp_log","2026-01-21 05:30:00","2026-01-21 06:00:00",2
"business","business.icmp_log","2026-01-21 07:30:00","2026-01-21 08:00:00",2
"business","business.icmp_log","2026-01-21 11:30:00","2026-01-21 12:00:00",1
"business","business.icmp_log","2026-01-21 12:00:00","2026-01-21 12:30:00",1
"business","business.icmp_log","2026-01-21 13:30:00","2026-01-21 14:00:00",1
"business","business.icmp_log","2026-01-21 14:00:00","2026-01-21 14:30:00",1
"business","business.icmp_log","2026-01-21 15:00:00","2026-01-21 15:30:00",1
"business","business.icmp_log","2026-01-21 16:00:00","2026-01-21 16:30:00",1
"business","business.icmp_log","2026-01-21 17:00:00","2026-01-21 17:30:00",1
"business","business.icmp_log","2026-01-21 17:30:00","2026-01-21 18:00:00",4
"business","business.icmp_log","2026-01-21 18:00:00","2026-01-21 18:30:00",5
"business","business.icmp_log","2026-01-21 18:30:00","2026-01-21 19:00:00",1
"business","business.icmp_log","2026-01-21 19:30:00","2026-01-21 20:00:00",2
"business","business.icmp_log","2026-01-21 20:00:00","2026-01-21 20:30:00",3
"business","business.icmp_log","2026-01-21 20:30:00","2026-01-21 21:00:00",1
"business","business.icmp_log","2026-01-22 01:00:00","2026-01-22 01:30:00",3
