"database","table","start_time","end_time","queries"
"business","business.operation_log","2026-01-20 01:00:00","2026-01-20 01:30:00",2
"business","business.operation_log","2026-01-20 01:30:00","2026-01-20 02:00:00",2
"business","business.operation_log","2026-01-21 01:00:00","2026-01-21 01:30:00",2
"business","business.operation_log","2026-01-21 01:30:00","2026-01-21 02:00:00",2
"business","business.operation_log","2026-01-22 01:00:00","2026-01-22 01:30:00",2
"business","business.operation_log","2026-01-22 01:30:00","2026-01-22 02:00:00",1
"business","business.operation_log","2026-01-22 02:30:00","2026-01-22 03:00:00",5
"business","business.operation_log","2026-01-22 03:00:00","2026-01-22 03:30:00",10
"business","business.operation_log","2026-01-22 07:00:00","2026-01-22 07:30:00",3
"business","business.operation_log","2026-01-22 07:30:00","2026-01-22 08:00:00",12
"business","business.operation_log","2026-01-22 10:30:00","2026-01-22 11:00:00",1
"business","business.operation_log","2026-01-23 01:00:00","2026-01-23 01:30:00",2
"business","business.operation_log","2026-01-23 01:30:00","2026-01-23 02:00:00",2
"business","business.operation_log","2026-01-24 01:00:00","2026-01-24 01:30:00",2
"business","business.operation_log","2026-01-24 01:30:00","2026-01-24 02:00:00",2
"business","business.operation_log","2026-01-25 01:00:00","2026-01-25 01:30:00",2
"business","business.operation_log","2026-01-25 01:30:00","2026-01-25 02:00:00",2
"business","business.operation_log","2026-01-26 01:00:00","2026-01-26 01:30:00",2
"business","business.operation_log","2026-01-26 01:30:00","2026-01-26 02:00:00",2
