"database","table","start_time","end_time","queries"
"business","business.sybase_log","2026-01-20 01:00:00","2026-01-20 01:30:00",3
"business","business.sybase_log","2026-01-20 01:30:00","2026-01-20 02:00:00",1
"business","business.sybase_log","2026-01-21 01:00:00","2026-01-21 01:30:00",3
"business","business.sybase_log","2026-01-21 01:30:00","2026-01-21 02:00:00",1
"business","business.sybase_log","2026-01-22 01:00:00","2026-01-22 01:30:00",3
"business","business.sybase_log","2026-01-22 05:00:00","2026-01-22 05:30:00",1
"business","business.sybase_log","2026-01-23 01:00:00","2026-01-23 01:30:00",3
"business","business.sybase_log","2026-01-23 01:30:00","2026-01-23 02:00:00",1
"business","business.sybase_log","2026-01-24 01:00:00","2026-01-24 01:30:00",3
"business","business.sybase_log","2026-01-24 01:30:00","2026-01-24 02:00:00",1
"business","business.sybase_log","2026-01-25 01:00:00","2026-01-25 01:30:00",3
"business","business.sybase_log","2026-01-25 01:30:00","2026-01-25 02:00:00",1
"business","business.sybase_log","2026-01-26 01:00:00","2026-01-26 01:30:00",3
"business","business.sybase_log","2026-01-26 01:30:00","2026-01-26 02:00:00",1
