"user_group","table_name","query_count","matched_query_count","ratio_7d","ratio_15d","ratio_30d","ratio_60d","ratio_90d","p50_days","p80_days","p90_days","p95_days","p99_days"
"__NON_HUMAN__","__ALL__",1274462,1251831,0.97,0.97,0.98,0.98,0.98,1,1,1,1,2
"__NON_HUMAN__","endpoint_behavior_log",70218,70142,0.99,0.99,0.99,0.99,0.99,2,2,2,2,2
"user_xdr_log_search_readonly","__ALL__",49688,49688,0.99,0.99,0.99,0.99,1,1,1,1,1,1
"__NON_HUMAN__","network_security_log",43907,34670,0.73,0.73,0.78,0.78,0.78,1,1,1,29,29
"__NON_HUMAN__","http_log",32620,32513,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","ioa_log",30482,28467,0.93,0.93,0.93,0.93,0.93,1,1,1,1,1
"__NON_HUMAN__","endpoint_security_log",30310,30252,0.97,0.97,0.99,0.99,0.99,1,1,1,1,29
"__NON_HUMAN__","dns_log",29233,29170,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","tcp_log",29231,29170,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","icmp_log",29165,29104,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","redis_log",28555,28479,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","ntlm_log",28554,28479,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","http_login_log",28554,28479,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","oracle_log",28547,28485,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","ftp_login_log",28540,28479,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","sql_server_log",28540,28485,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","pgsql_login_log",28540,28479,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","smb_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","pgsql_cmd_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","smtp_login_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","pop3_login_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","rdp_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","mongo_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","snmp_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
"__NON_HUMAN__","ssh_log",28534,28473,0.99,0.99,0.99,0.99,0.99,1,1,1,1,1
